scorer,DLC_resnet50_JonsLivingRoomJun16shuffle1_150000,DLC_resnet50_JonsLivingRoomJun16shuffle1_150000,DLC_resnet50_JonsLivingRoomJun16shuffle1_150000,DLC_resnet50_JonsLivingRoomJun16shuffle1_150000,DLC_resnet50_JonsLivingRoomJun16shuffle1_150000,DLC_resnet50_JonsLivingRoomJun16shuffle1_150000,DLC_resnet50_JonsLivingRoomJun16shuffle1_150000,DLC_resnet50_JonsLivingRoomJun16shuffle1_150000,DLC_resnet50_JonsLivingRoomJun16shuffle1_150000
bodyparts,orangeBall,orangeBall,orangeBall,greenBall,greenBall,greenBall,pinkBall,pinkBall,pinkBall
coords,x,y,likelihood,x,y,likelihood,x,y,likelihood
24,575.5301513671875,1825.152587890625,0.9150182008743286,640.5597534179688,1631.068603515625,0.9999998211860657,576.13037109375,1698.151123046875,0.9999998211860657
25,575.49267578125,1825.257568359375,0.9164854288101196,640.4625854492188,1631.0577392578125,0.9999999403953552,576.0331420898438,1698.14111328125,0.9999998807907104
26,575.5276489257812,1825.6483154296875,0.873732328414917,640.54248046875,1631.0941162109375,0.9999998807907104,576.1130981445312,1698.3560791015625,0.9999998211860657
27,574.795654296875,1803.5889892578125,0.8759090900421143,640.4500122070312,1630.982421875,0.9999998211860657,576.1444091796875,1698.5224609375,0.9999998807907104
28,574.806884765625,1803.6533203125,0.8988728523254395,640.5586547851562,1630.92626953125,0.9999998807907104,576.0742797851562,1698.6627197265625,0.9999998211860657
29,574.5980224609375,1803.8651123046875,0.9478747844696045,640.5977783203125,1630.9859619140625,0.9999998807907104,575.9790649414062,1698.8046875,0.9999998211860657
30,574.6156005859375,1803.781982421875,0.9597234725952148,640.6547241210938,1630.985107421875,0.9999998807907104,575.9151611328125,1698.80224609375,0.9999998807907104
31,574.4659423828125,1810.72509765625,0.9113767147064209,640.3049926757812,1630.9378662109375,0.9999998807907104,575.7332763671875,1698.558349609375,0.9999998807907104
32,574.642333984375,1811.14794921875,0.9341500997543335,640.389404296875,1630.9857177734375,0.9999999403953552,575.7810668945312,1698.4814453125,0.9999998211860657
33,574.359375,1811.6201171875,0.9060499668121338,640.3829345703125,1631.133544921875,0.9999999403953552,575.6980590820312,1698.4959716796875,0.9999999403953552
34,574.2066040039062,1811.369384765625,0.9347277283668518,640.39404296875,1631.07080078125,0.9999999403953552,575.753173828125,1698.479248046875,0.9999998807907104
35,574.38232421875,1810.453125,0.968575119972229,640.4682006835938,1631.0565185546875,0.9999998807907104,575.5791015625,1698.67919921875,0.9999998211860657
36,574.4974365234375,1810.2606201171875,0.974919319152832,640.4967041015625,1630.98291015625,0.9999998807907104,575.594970703125,1698.760009765625,0.9999998807907104
37,574.680908203125,1810.0732421875,0.9657250642776489,640.5388793945312,1630.994384765625,0.9999998807907104,575.5551147460938,1698.829833984375,0.9999998807907104
38,574.9832763671875,1809.9498291015625,0.9506084322929382,640.542724609375,1631.0389404296875,0.9999998807907104,575.5242309570312,1698.929443359375,0.9999998807907104
39,575.0203857421875,1809.945556640625,0.9733341932296753,640.5830688476562,1631.1031494140625,0.9999998807907104,575.5197143554688,1698.9283447265625,0.9999998211860657
40,574.7998046875,1810.040283203125,0.9749948978424072,640.5577392578125,1631.0928955078125,0.9999998211860657,575.3170776367188,1698.8597412109375,0.9999998211860657
41,574.3921508789062,1810.26318359375,0.984065055847168,640.5595092773438,1631.1007080078125,0.9999997615814209,575.3568115234375,1698.7806396484375,0.9999998211860657
42,574.44482421875,1810.3494873046875,0.983588457107544,640.5879516601562,1631.081787109375,0.9999998807907104,575.41943359375,1698.72802734375,0.9999998807907104
43,574.459716796875,1810.420654296875,0.9890885949134827,640.4750366210938,1631.0782470703125,0.9999998807907104,575.390380859375,1698.9423828125,0.9999998211860657
44,574.582763671875,1810.810546875,0.987190842628479,640.44775390625,1631.0513916015625,0.9999998211860657,575.4645385742188,1698.9222412109375,0.9999999403953552
45,575.453369140625,1804.375732421875,0.9907650947570801,640.5121459960938,1631.1778564453125,0.9999998807907104,575.57958984375,1698.951171875,0.9999998807907104
46,575.7061767578125,1804.677734375,0.9917078018188477,640.7371826171875,1631.0733642578125,0.9999998807907104,575.4825439453125,1698.83544921875,0.9999999403953552
47,575.690673828125,1804.3927001953125,0.9928277730941772,640.5004272460938,1631.0545654296875,0.9999998807907104,575.596435546875,1698.9344482421875,0.9999998807907104
48,575.8377685546875,1804.3076171875,0.9877612590789795,640.65380859375,1631.0264892578125,0.9999998211860657,575.8161010742188,1698.811279296875,0.9999998807907104
49,575.9031372070312,1804.2078857421875,0.9826641082763672,640.6329956054688,1631.047119140625,0.9999997615814209,575.970458984375,1698.813232421875,0.9999998807907104
50,576.0841674804688,1804.145263671875,0.9722020626068115,640.6074829101562,1631.033447265625,0.9999998807907104,576.0091552734375,1698.93408203125,0.9999998807907104
51,576.0341796875,1803.9571533203125,0.981897234916687,640.4000244140625,1630.8670654296875,0.9999998807907104,575.925048828125,1698.8726806640625,0.9999999403953552
52,575.7579345703125,1810.643310546875,0.9610260725021362,640.3780517578125,1630.789794921875,0.9999998211860657,575.864501953125,1698.8134765625,0.9999998807907104
53,576.735595703125,1803.85009765625,0.9635381698608398,640.3492431640625,1630.7611083984375,0.9999998807907104,576.05810546875,1698.779296875,0.9999998807907104
54,576.4251098632812,1803.89306640625,0.978825569152832,640.4121704101562,1630.8427734375,0.9999998807907104,576.0859375,1698.76025390625,0.9999998807907104
55,576.0311279296875,1803.8480224609375,0.9848254919052124,640.3824462890625,1630.7401123046875,0.9999998211860657,576.0582885742188,1698.8563232421875,0.9999998807907104
56,575.914306640625,1803.965087890625,0.9883002042770386,640.309326171875,1630.725341796875,0.9999998807907104,576.1499633789062,1698.8023681640625,0.9999998807907104
57,575.7390747070312,1804.004638671875,0.9910389184951782,640.3422241210938,1630.674560546875,0.9999998807907104,576.1153564453125,1698.88916015625,0.9999998807907104
58,575.721435546875,1804.14013671875,0.9928351640701294,640.2305908203125,1630.6136474609375,0.9999998807907104,576.0005493164062,1698.8634033203125,0.9999998807907104
59,575.4161987304688,1804.24072265625,0.9920563697814941,640.2110595703125,1630.4764404296875,0.9999998807907104,576.1171875,1699.015625,0.9999998807907104
60,575.2376098632812,1804.1763916015625,0.9937019348144531,640.1962890625,1630.40087890625,0.9999999403953552,576.127197265625,1698.987060546875,0.9999999403953552
61,575.367431640625,1804.0751953125,0.9927636384963989,640.137451171875,1630.4022216796875,0.9999998211860657,576.2135620117188,1699.02197265625,0.9999999403953552
62,575.2608642578125,1803.9892578125,0.9920849800109863,640.1306762695312,1630.33740234375,0.9999998807907104,576.2999877929688,1699.00732421875,0.9999998807907104
